[1/9975] id=26 word_rank=13 -> ok  (eta 34.0m)
[2/9975] id=27 word_rank=14 -> ok  (eta 25.5m)
[3/9975] id=29 word_rank=15 -> ok  (eta 24.5m)
[4/9975] id=28 word_rank=14 -> ok  (eta 23.5m)
[5/9975] id=30 word_rank=15 -> ok  (eta 22.8m)
[6/9975] id=31 word_rank=16 -> ok  (eta 30.6m)
[7/9975] id=32 word_rank=16 -> ok  (eta 26.3m)
[8/9975] id=33 word_rank=17 -> ok  (eta 23.1m)
[9/9975] id=34 word_rank=17 -> ok  (eta 23.9m)
[10/9975] id=36 word_rank=18 -> ok  (eta 23.8m)
[11/9975] id=35 word_rank=18 -> ok  (eta 23.8m)
[12/9975] id=37 word_rank=19 -> ok  (eta 23.8m)
[13/9975] id=38 word_rank=19 -> ok  (eta 23.5m)
[14/9975] id=39 word_rank=20 -> ok  (eta 23.1m)
[15/9975] id=40 word_rank=20 -> ok  (eta 26.8m)
[16/9975] id=41 word_rank=21 -> ok  (eta 26.7m)
[17/9975] id=43 word_rank=22 -> ok  (eta 25.1m)
[18/9975] id=42 word_rank=21 -> ok  (eta 25.1m)
[19/9975] id=44 word_rank=22 -> ok  (eta 25.3m)
[20/9975] id=45 word_rank=23 -> ok  (eta 25.2m)
[21/9975] id=46 word_rank=23 -> ok  (eta 24.6m)
[22/9975] id=47 word_rank=24 -> ok  (eta 23.6m)
[23/9975] id=48 word_rank=24 -> ok  (eta 23.2m)
[24/9975] id=49 word_rank=25 -> ok  (eta 23.4m)
[25/9975] id=50 word_rank=25 -> ok  (eta 23.6m)
[26/9975] id=51 word_rank=26 -> ok  (eta 23.5m)
[27/9975] id=52 word_rank=26 -> ok  (eta 23.4m)
[28/9975] id=53 word_rank=27 -> ok  (eta 23.5m)
[29/9975] id=54 word_rank=27 -> ok  (eta 23.3m)
[30/9975] id=55 word_rank=28 -> ok  (eta 23.2m)
[31/9975] id=56 word_rank=28 -> ok  (eta 22.8m)
[32/9975] id=57 word_rank=29 -> ok  (eta 22.4m)
[33/9975] id=58 word_rank=29 -> ok  (eta 22.6m)
[34/9975] id=60 word_rank=30 -> ok  (eta 22.8m)
[35/9975] id=59 word_rank=30 -> ok  (eta 22.8m)
[36/9975] id=61 word_rank=31 -> ok  (eta 22.8m)
[37/9975] id=63 word_rank=32 -> ok  (eta 22.7m)
[38/9975] id=62 word_rank=31 -> ok  (eta 23.0m)
[39/9975] id=64 word_rank=32 -> ok  (eta 22.4m)
[40/9975] id=66 word_rank=33 -> ok  (eta 22.2m)
[41/9975] id=65 word_rank=33 -> ok  (eta 22.3m)
[42/9975] id=69 word_rank=35 -> ok  (eta 23.1m)
[43/9975] id=68 word_rank=34 -> ok  (eta 23.1m)
[44/9975] id=67 word_rank=34 -> ok  (eta 22.6m)
[45/9975] id=70 word_rank=35 -> ok  (eta 22.5m)
[46/9975] id=71 word_rank=36 -> ok  (eta 23.0m)
[47/9975] id=72 word_rank=36 -> ok  (eta 22.5m)
[48/9975] id=73 word_rank=37 -> ok  (eta 22.3m)
[49/9975] id=74 word_rank=37 -> ok  (eta 22.2m)
[50/9975] id=75 word_rank=38 -> ok  (eta 22.3m)
[51/9975] id=76 word_rank=38 -> ok  (eta 22.3m)
[52/9975] id=77 word_rank=39 -> ok  (eta 22.8m)
[53/9975] id=80 word_rank=40 -> ok  (eta 22.4m)
[54/9975] id=79 word_rank=40 -> ok  (eta 22.3m)
[55/9975] id=78 word_rank=39 -> ok  (eta 22.4m)
[56/9975] id=81 word_rank=41 -> ok  (eta 22.4m)
[57/9975] id=82 word_rank=41 -> ok  (eta 22.3m)
[58/9975] id=83 word_rank=42 -> ok  (eta 22.1m)
[59/9975] id=84 word_rank=42 -> ok  (eta 22.2m)
[60/9975] id=85 word_rank=43 -> ok  (eta 22.7m)
[61/9975] id=86 word_rank=43 -> ok  (eta 22.4m)
[62/9975] id=87 word_rank=44 -> ok  (eta 22.3m)
[63/9975] id=88 word_rank=44 -> ok  (eta 22.3m)
[64/9975] id=89 word_rank=45 -> ok  (eta 23.2m)
[65/9975] id=90 word_rank=45 -> ok  (eta 22.8m)
[66/9975] id=91 word_rank=46 -> ok  (eta 22.5m)
[67/9975] id=92 word_rank=46 -> ok  (eta 22.4m)
[68/9975] id=95 word_rank=48 -> ok  (eta 22.2m)
[69/9975] id=94 word_rank=47 -> ok  (eta 22.2m)
[70/9975] id=97 word_rank=49 -> ok  (eta 22.6m)
[71/9975] id=93 word_rank=47 -> ok  (eta 22.5m)
[72/9975] id=96 word_rank=48 -> ok  (eta 22.2m)
[73/9975] id=99 word_rank=50 -> ok  (eta 23.2m)
[74/9975] id=98 word_rank=49 -> ok  (eta 22.9m)
[75/9975] id=100 word_rank=50 -> ok  (eta 22.6m)
[76/9975] id=101 word_rank=51 -> ok  (eta 22.3m)
[77/9975] id=104 word_rank=52 -> ok  (eta 22.3m)
[78/9975] id=102 word_rank=51 -> ok  (eta 22.3m)
[79/9975] id=105 word_rank=53 -> ok  (eta 22.3m)
[80/9975] id=103 word_rank=52 -> ok  (eta 22.2m)
[81/9975] id=106 word_rank=53 -> ok  (eta 22.3m)
[82/9975] id=107 word_rank=54 -> ok  (eta 22.2m)
[83/9975] id=109 word_rank=55 -> ok  (eta 22.6m)
[84/9975] id=108 word_rank=54 -> ok  (eta 22.4m)
[85/9975] id=110 word_rank=55 -> ok  (eta 22.2m)
[86/9975] id=111 word_rank=56 -> ok  (eta 22.1m)
[87/9975] id=112 word_rank=56 -> ok  (eta 22.5m)
[88/9975] id=113 word_rank=57 -> ok  (eta 22.5m)
[89/9975] id=114 word_rank=57 -> ok  (eta 22.2m)
[90/9975] id=115 word_rank=58 -> ok  (eta 22.2m)
[91/9975] id=116 word_rank=58 -> ok  (eta 22.2m)
[92/9975] id=117 word_rank=59 -> ok  (eta 22.2m)
[93/9975] id=119 word_rank=60 -> ok  (eta 22.3m)
[94/9975] id=118 word_rank=59 -> ok  (eta 22.1m)
